Valence,Negativo,Neutro,Positivo,Creado,Comentario
-0.5661,0.207,0.793,0.0,2018-09-13 00:25:44,"RT @MeroSaber1D: How can you not love this guy?! \nHappy 25th birthday, Nialler \xf0\x9f\x92\x9e\n#HappyBirthdayNiall https://t.co/gpwmhRkJN1"
0.7713,0.0,0.622,0.378,2018-09-13 00:25:44,so happy to see friends/mutuals/strangers meeting the boys after years of support \xf0\x9f\x98\xa9\xe2\x9d\xa4\xef\xb8\x8f
0.5719,0.0,0.519,0.481,2018-09-13 00:25:44,RT @tsundere_asuka: Happy #NationalVideoGamesDay https://t.co/FT23ymu4G3
0.9517,0.0,0.538,0.462,2018-09-13 00:25:44,RT @NICKIMINAJ: \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe I\xe2\x80\x99m just happy there are people who are not afraid to speak the truth. God bless all of my supporters. I love you so muc\xe2\x80\xa6
0.0,0.0,1.0,0.0,2018-09-13 00:25:44,RT @mcpid67: @fleurs7754 @serranodmarie @luimaxM16 @MarleneSalsona @elainerequina21 @VidaDallas @vickyppascual @carl05290 @cpjayloni @salva\xe2\x80\xa6
0.3802,0.0,0.88,0.12,2018-09-13 00:25:44,"RT @AGT: For RM\xe2\x80\x99s birthday, we got him a photo with his biggest fan @tyrabanks. \xf0\x9f\x92\x9c \n\nHAPPY BIRTHDAY, ANGEL! #BTSonAGT https://t.co/X16TXhRhbG"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:44,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.6784,0.0,0.304,0.696,2018-09-13 00:25:44,@MattMcAndrew Happy birthday!!!
0.8148,0.068,0.611,0.321,2018-09-13 00:25:44,"RT @lysa2badd: Yall my son is walking, I\xe2\x80\x99m so overwhelmed with joy... hes not happy but he\xe2\x80\x99s doing it! Praise God! https://t.co/M8xpU3kj4r"
0.7067,0.0,0.59,0.41,2018-09-13 00:25:44,RT @coupdemain: \xf0\x9f\x95\xaf happy birthday @niallofficial!!!!! \xf0\x9f\x92\x9b https://t.co/lMRZNYlpoR
0.8012,0.0,0.736,0.264,2018-09-13 00:25:44,RT @dWbjoDVw75b1fsj: Hello Twitter! Thanks for many follows and heatful messages\xe2\x80\xa6 I\xe2\x80\x98m really happy if you listen to my songs\nand your heart\xe2\x80\xa6
0.5719,0.0,0.654,0.346,2018-09-13 00:25:43,I dare her not to tell me happy birthday
0.8748,0.0,0.584,0.416,2018-09-13 00:25:43,"RT @menggalurks: Happy #ALDUB165thWeeksary! Whatever you decide to do, make sure it makes you happy \xe2\x9d\xa4\xef\xb8\x8f https://t.co/VsTfhHS8dP"
0.784,0.0,0.685,0.315,2018-09-13 00:25:43,"RT @darrenchenpic: ""Too happy to have wrinkles on my face! Thanks for all the 600k followers\xf0\x9f\x96\xa4"" https://t.co/96MgIWEICb"
0.9517,0.0,0.538,0.462,2018-09-13 00:25:43,RT @NICKIMINAJ: \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe I\xe2\x80\x99m just happy there are people who are not afraid to speak the truth. God bless all of my supporters. I love you so muc\xe2\x80\xa6
0.8148,0.068,0.611,0.321,2018-09-13 00:25:43,"RT @lysa2badd: Yall my son is walking, I\xe2\x80\x99m so overwhelmed with joy... hes not happy but he\xe2\x80\x99s doing it! Praise God! https://t.co/M8xpU3kj4r"
0.0,0.0,1.0,0.0,2018-09-13 00:25:43,"RT @CNiyago: We all have to separate Aldub from Maichard. Aldub is the public persona, Maichard is the ninja couple.\n\nSo sino ang iniinterv\xe2\x80\xa6"
0.7131,0.178,0.485,0.337,2018-09-13 00:25:43,I\xe2\x80\x99m so happy I found a new coach!!!! I miss prepping ugh it\xe2\x80\x99s going to be so much better!!!
0.8478,0.0,0.613,0.387,2018-09-13 00:25:43,"RT @iHeartRadio: Happy birthday to the love of my life, RM of @BTS_twt! \xe2\x9d\xa3\xef\xb8\x8f https://t.co/ymPYEs5OcH"
0.3818,0.0,0.88,0.12,2018-09-13 00:25:43,Henry: this video will clear things up and make everyone happy\nUs: ... did anyone understood what Henry tried to say?
0.8148,0.068,0.611,0.321,2018-09-13 00:25:43,"RT @lysa2badd: Yall my son is walking, I\xe2\x80\x99m so overwhelmed with joy... hes not happy but he\xe2\x80\x99s doing it! Praise God! https://t.co/M8xpU3kj4r"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:43,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.0,0.0,1.0,0.0,2018-09-13 00:25:43,RT @kharel_sakura: @LALLAVILLAMIL2 @GraceKelly2 @ALDUB_POETweets @hotxander01 @grabesila @AkoSiToothchie @LaDiosaRM @Barbarapunzala1 @Jenny\xe2\x80\xa6
0.9131,0.0,0.527,0.473,2018-09-13 00:25:43,RT @LGMobileGlobal: Happy Birthday to the passionate leader of #BTS #RM!! Let's celebrate at #BTSSTUDIObyLG! https://t.co/RPCwyyFBIq
0.5719,0.0,0.448,0.552,2018-09-13 00:25:43,@JuhWhoBis Are you happy?
0.8143,0.0,0.696,0.304,2018-09-13 00:25:43,@howiemandel @USBTSARMY i was jungshook the best performance  i ever seen THANK YOU SO MUCH GOSH THE STAGE THE LIGH\xe2\x80\xa6 https://t.co/Y3FnCTkwmU
0.8016,0.0,0.754,0.246,2018-09-13 00:25:43,Happy birthday to my other half! Daniel you are the light of my life and I enjoy watching you age. Can\xe2\x80\x99t wait to se\xe2\x80\xa6 https://t.co/RTIvQugUd9
0.5423,0.117,0.641,0.242,2018-09-13 00:25:43,RT @brianleejackson: Choosing a new #WordPress host can be stressful. That's why @kinsta has made it super easy with a 30-day money-back gu\xe2\x80\xa6
0.7264,0.0,0.621,0.379,2018-09-13 00:25:43,"So happy my mother went to the market , it was well needed\xf0\x9f\x98\x82\xf0\x9f\x98\xab"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:43,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.6633,0.0,0.746,0.254,2018-09-13 00:25:43,RT @Angelo_Varilla: THE SQUAD SINGS HAPPY BIRTHDAY TO RM \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\n\n@BTS_twt #BTS #RM\n#RMGalaxyDay \n#\xeb\x82\xa8\xec\xa4\x80_\xeb\x84\x8c_\xeb\x82\x98\xec\x9d\x98_\xec\x82\xac\xeb\x9e\x8c\xec\x82\xac\xeb\x9e\x91\xec\x9e\x90\xeb\x9e\x91\n#\xeb\x82\xa8\xec\xa4\x80\xec\x9d\xb4\xeb\x8a\x94_\xec\x95\x84\xeb\xaf\xb8\xec\x9d\x98_\xec\x82\xac\xeb\x9e\x91\xec\x9d\xb4\xec\x9e\x90_\xec\x9e\x90\xeb\x9e\x91 https://t.c\xe2\x80\xa6
0.8324,0.0,0.746,0.254,2018-09-13 00:25:42,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.6633,0.0,0.693,0.307,2018-09-13 00:25:42,RT @Creker_THEBOYZ: HAPPY BIRTHDAY TO HYUNJAE\xe2\x9d\xa3\n\n#20180913 #THEBOYZ #\xeb\x8d\x94\xeb\xb3\xb4\xec\x9d\xb4\xec\xa6\x88 #HYUNJAE #\xed\x98\x84\xec\x9e\xac https://t.co/XRLUtYUZnZ
0.0,0.0,1.0,0.0,2018-09-13 00:25:42,Writers! Early registration for the @barrelhouse conference in Pittsburgh on 10/20 is closing tonight! Last chance\xe2\x80\xa6 https://t.co/eBO6SXcHXZ
0.8617,0.0,0.665,0.335,2018-09-13 00:25:42,"RT @NoControlProjec: This will forever be the most iconic happy birthday fan video. Because let\xe2\x80\x99s be honest, Niall Horan is One Direction\xe2\x80\x99s\xe2\x80\xa6"
0.6114,0.0,0.429,0.571,2018-09-13 00:25:42,@NiallOfficial  happy birthday! \xf0\x9f\x92\x93\xf0\x9f\x92\x98\xf0\x9f\x92\x95\xf0\x9f\x92\x96\xf0\x9f\x92\x97\xf0\x9f\x8c\xba\xf0\x9f\x8c\xbc\xf0\x9f\x8d\x82
0.6115,0.0,0.6,0.4,2018-09-13 00:25:42,just so happy n content with life rn\xf0\x9f\x98\x85
0.8176,0.0,0.712,0.288,2018-09-13 00:25:42,RT @taestythic: look at their happy expressions when taehyung joined them on their trip &amp; the way hoseok hugged him the energy ot7 radiates\xe2\x80\xa6
0.8176,0.117,0.463,0.42,2018-09-13 00:25:42,RT @lovelyrenessa: Praying is a must. \nIgnoring negativity is a must.\nStaying happy and focused is a must.\nRemaining humble and grateful is\xe2\x80\xa6
0.745,0.0,0.818,0.182,2018-09-13 00:25:42,RT @BindiIrwin: \xe2\x80\x98Crikey! It\xe2\x80\x99s The Irwins!\xe2\x80\x99 \nI am so happy to announce that our brand new Animal Planet series will be airing on October 28t\xe2\x80\xa6
0.9517,0.0,0.538,0.462,2018-09-13 00:25:42,RT @NICKIMINAJ: \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe I\xe2\x80\x99m just happy there are people who are not afraid to speak the truth. God bless all of my supporters. I love you so muc\xe2\x80\xa6
0.2023,0.087,0.754,0.159,2018-09-13 00:25:42,"RT @disneyheart_11: One year.., let\xe2\x80\x99s count the good points instead., because no matter what happened, you have been part of my happiness,\xe2\x80\xa6"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:42,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.8316,0.147,0.378,0.475,2018-09-13 00:25:42,RT @tartan_toker: Happy 17th anniversary ya sexy bastard ya love ya loadz\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\xf0\x9f\x92\x9cxxxxx https://t.co/vF91CkOGZV
0.8324,0.0,0.746,0.254,2018-09-13 00:25:42,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.5834,0.175,0.543,0.283,2018-09-13 00:25:42,"@santaarnold Thanks for this great suggestion Tina! Unfortunately, we don't have a feature like this right now, but\xe2\x80\xa6 https://t.co/FwjCpOG9DQ"
0.3802,0.0,0.88,0.12,2018-09-13 00:25:42,"RT @AGT: For RM\xe2\x80\x99s birthday, we got him a photo with his biggest fan @tyrabanks. \xf0\x9f\x92\x9c \n\nHAPPY BIRTHDAY, ANGEL! #BTSonAGT https://t.co/X16TXhRhbG"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:42,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.7906,0.0,0.767,0.233,2018-09-13 00:25:41,"RT @lightintheattic: Happy b-day to Chris Dedrick, born on this day in 1947 in Delevan, New York. As a member of The Free Design, Chris pen\xe2\x80\xa6"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:41,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.0,0.0,1.0,0.0,2018-09-13 00:25:41,RT @sonic_hedgehog: Going fast for 27 years and counting. \n\nHappy #NationalVideoGamesDay! https://t.co/PWgR1NtRs5
0.9131,0.0,0.527,0.473,2018-09-13 00:25:41,RT @LGMobileGlobal: Happy Birthday to the passionate leader of #BTS #RM!! Let's celebrate at #BTSSTUDIObyLG! https://t.co/RPCwyyFBIq
0.7476,0.19,0.499,0.311,2018-09-13 00:25:41,IM SO SO HAPPY THAT INSATIABLE GOT RENEWED FOR A SEASON TWO IM SCREAMING YES I LITERALLY AM FREAKING OUT IN MY FRIE\xe2\x80\xa6 https://t.co/y1b39km7Uw
0.8324,0.0,0.746,0.254,2018-09-13 00:25:41,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.5719,0.0,0.871,0.129,2018-09-13 00:25:41,RT @amourjeon: BTS really got told \xe2\x80\x9cMaybe we\xe2\x80\x99ll see you on the GRAMMYs stage someday.\xe2\x80\x9d Do you know how happy they probably were to hear tha\xe2\x80\xa6
0.8774,0.0,0.543,0.457,2018-09-13 00:25:41,Prof. @Swamy39 jee &amp; Prof. @rvaidya2000 jee - Happy Ganesh Chaturthi - Best wishes from PTs!! https://t.co/irZquP1BjV
0.6948,0.0,0.678,0.322,2018-09-13 00:25:41,RT @Abi_ARMYxBTS: #AGTResults  I'm so happy for VICKI \xe2\x99\xa5\xe2\x99\xa5\xe2\x99\xa5\xe2\x99\xa5 #AGTLIVE https://t.co/iwVRGj8rWj
0.6633,0.0,0.575,0.425,2018-09-13 00:25:41,HAPPY ANNIVERSARY TO MY INTERNET FRIENDSSSS https://t.co/c35scfcLTu
0.3802,0.0,0.88,0.12,2018-09-13 00:25:41,"RT @AGT: For RM\xe2\x80\x99s birthday, we got him a photo with his biggest fan @tyrabanks. \xf0\x9f\x92\x9c \n\nHAPPY BIRTHDAY, ANGEL! #BTSonAGT https://t.co/X16TXhRhbG"
0.8324,0.0,0.746,0.254,2018-09-13 00:25:41,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.5719,0.0,0.654,0.346,2018-09-13 00:25:41,@hqtrivia That one person would be reeeeeeaaaaly happy.
0.9517,0.0,0.538,0.462,2018-09-13 00:25:41,RT @NICKIMINAJ: \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe I\xe2\x80\x99m just happy there are people who are not afraid to speak the truth. God bless all of my supporters. I love you so muc\xe2\x80\xa6
0.8324,0.0,0.746,0.254,2018-09-13 00:25:41,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.1511,0.0,0.898,0.102,2018-09-13 00:25:41,RT @SuperStarBTStwt: #SuperStarBTS RM Birthday Challenge Event! \nUpload RM's birthday celebration video\nwith hash tag #SUPERSTAR_RM_HAPPYBD\xe2\x80\xa6
0.9358,0.0,0.296,0.704,2018-09-13 00:25:41,Happy 21st mario!! Celebrate well. I love you guys \xf0\x9f\x96\xa4 https://t.co/O2NV2Ht2GT
0.8802,0.0,0.674,0.326,2018-09-13 00:25:41,RT @MrsMJParker: #AGTResults woooo hoooo I am so so happy @VickiBarbolak you are going all the way #TrailerNasty #trophywife amazing! So so\xe2\x80\xa6
0.8748,0.0,0.584,0.416,2018-09-13 00:25:41,"RT @menggalurks: Happy #ALDUB165thWeeksary! Whatever you decide to do, make sure it makes you happy \xe2\x9d\xa4\xef\xb8\x8f https://t.co/VsTfhHS8dP"
0.7088,0.0,0.629,0.371,2018-09-13 00:25:41,RT @radiodisney: Wishing Happy Birthday to RM of #BTS! @bts_bighit @BTS_twt https://t.co/Z8FdBTQRSj
0.3802,0.0,0.88,0.12,2018-09-13 00:25:41,"RT @AGT: For RM\xe2\x80\x99s birthday, we got him a photo with his biggest fan @tyrabanks. \xf0\x9f\x92\x9c \n\nHAPPY BIRTHDAY, ANGEL! #BTSonAGT https://t.co/X16TXhRhbG"
0.6114,0.0,0.8,0.2,2018-09-13 00:25:41,RT @naaadmd: A plane just flew by carrying a message for Namjoon's Birthday! 'Happy RM Day \xe2\x9d\xa4'\n\n#BTS #BTSLoveYourselfTour #LoveYourselfInOak\xe2\x80\xa6
0.8885,0.0,0.632,0.368,2018-09-13 00:25:41,"Happy to see a record $220,000+ was raised today at the annual #WaMyeg in support of the great work @YWCAEdmonton d\xe2\x80\xa6 https://t.co/zL4qO9NcX3"
0.0,0.0,1.0,0.0,2018-09-13 00:25:41,"The heart wants what the heart wants . Smoking cigarettes does not make sense to a lot of people, but to smokers it\xe2\x80\xa6 https://t.co/XukZT72G8B"
0.7067,0.0,0.796,0.204,2018-09-13 00:25:41,Here we go!! Happy HUMP day y\xe2\x80\x99all \xf0\x9f\x98\x9c\xf0\x9f\x98\x8e .... Just 2 weeks from tomorrow and #SWAT is BACK BABY!!!!  \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd\xf0\x9f\x92\xa3\xf0\x9f\x92\xa3 https://t.co/j4ur11GYfv
0.8324,0.0,0.746,0.254,2018-09-13 00:25:41,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.8179,0.0,0.4,0.6,2018-09-13 00:25:41,hhhssjs im so happy rn thank u bts
0.7184,0.0,0.667,0.333,2018-09-13 00:25:41,"RT @OnlyFuturistic: Make sure you\xe2\x80\x99re happy in real life, not just on the internet..."
0.5719,0.0,0.802,0.198,2018-09-13 00:25:41,RT @Whataburger: Sometimes the only person that can make you happy is the cook at Whataburger
0.8324,0.0,0.746,0.254,2018-09-13 00:25:41,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.6467,0.0,0.678,0.322,2018-09-13 00:25:41,RT @yungizzyy: @AleReyes10 happy birthday mami!! \xf0\x9f\x8e\x88 get litty \xf0\x9f\xa4\x91\xf0\x9f\xa4\xaa
0.9131,0.0,0.527,0.473,2018-09-13 00:25:40,RT @LGMobileGlobal: Happy Birthday to the passionate leader of #BTS #RM!! Let's celebrate at #BTSSTUDIObyLG! https://t.co/RPCwyyFBIq
0.7901,0.0,0.65,0.35,2018-09-13 00:25:40,RT @cartoonnetwork: Happy #VideoGameDay from our favorite mini-console! \xf0\x9f\xa4\x96\xf0\x9f\x91\xbe \n\n\xf0\x9f\x8e\xa5: @orbian \n#beemo #adventuretime #nationalvideogameday https:\xe2\x80\xa6
0.6467,0.0,0.778,0.222,2018-09-13 00:25:40,RT @rlrichey: Happy #NationalVideoGamesDay! We're about to stream #Zelda Skyward Sword at https://t.co/XC4pF52k5W\nWe're linked together! Co\xe2\x80\xa6
0.9427,0.0,0.564,0.436,2018-09-13 00:25:40,@Daspudster1 But he's happy to do it. That's Steve Perry. He's very appreciative of the support he gets. I think ot\xe2\x80\xa6 https://t.co/AgRTjXmKsn
0.7733,0.0,0.748,0.252,2018-09-13 00:25:40,"Honey, don\xe2\x80\x99t be so confident when you see your ex with someone else you think is less attractive than you. \n\nMaybe\xe2\x80\xa6 https://t.co/EIk6TnoEsk"
0.0,0.0,1.0,0.0,2018-09-13 00:25:40,@theroad90 @TomStaples5 @NtimeWelearn @WhiteHouse @realDonaldTrump @FLOTUS So you should be happy...\n Trump was vot\xe2\x80\xa6 https://t.co/1O74MwboP8
0.5719,0.0,0.709,0.291,2018-09-13 00:25:40,RT @okayitati: happy birthday to my sleepy dog \xf0\x9f\x8e\x88 https://t.co/9PU3PVwreO
0.9131,0.0,0.527,0.473,2018-09-13 00:25:40,RT @LGMobileGlobal: Happy Birthday to the passionate leader of #BTS #RM!! Let's celebrate at #BTSSTUDIObyLG! https://t.co/RPCwyyFBIq
0.9051,0.0,0.328,0.672,2018-09-13 00:25:40,@connorfranta HAPPY BIRTHDAY CONNOR!!! LOVE YOUUU \xf0\x9f\x92\x9c
0.0772,0.0,0.942,0.058,2018-09-13 00:25:40,RT @citynightcap: @F_CameronAuthor Oceanside Village telephone number is 843 650 4440 and fax is 843 650 1865. The project director is Denn\xe2\x80\xa6
0.8555,0.0,0.749,0.251,2018-09-13 00:25:40,"RT @MicheBangtan: Best camera work they have ever had in the US. Best hype crew from Tyra, Heidi, Howie, @AGT and @nbc, you made so many AR\xe2\x80\xa6"
0.6369,0.0,0.802,0.198,2018-09-13 00:25:40,"RT @jhskyun: roses are red,\nviolets are (not) blue;\n""happy birthday,"" he said,\ni reply with an \'i love you\'\n\n#monbebeselcaday https://t.co/\xe2\x80\xa6"
0.5719,0.0,0.748,0.252,2018-09-13 00:25:40,"Today is the day. Whatever happens, I will always be happy for you."
0.928,0.0,0.573,0.427,2018-09-13 00:25:40,RT @flowerfaedundee: Happy 17th anniversary tae this gorgeous hunk o a man @Ruthless_DVD i love u soooo much n look 4ward tae the rest o it\xe2\x80\xa6
0.8324,0.0,0.746,0.254,2018-09-13 00:25:40,"RT @tyrabanks: Retweet to say HAPPY BIRTHDAY to the fierce RM! \n\nWe finally got our pic together! You are inspiring so many, and you\xe2\x80\x99re bri\xe2\x80\xa6"
0.7088,0.0,0.629,0.371,2018-09-13 00:25:40,RT @radiodisney: Wishing Happy Birthday to RM of #BTS! @bts_bighit @BTS_twt https://t.co/Z8FdBTQRSj
0.9709,0.0,0.48,0.52,2018-09-13 00:25:40,RT @alliahspencer_: Happy Anniversary to my best friend who happens to be the love of my life. Thank you for loving me flaws and all\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f #7\xe2\x80\xa6
